plantnum,fliesperwk,harvest,do.mg.l,do.pct,halfvol,lflen,lfwid,keelwid,diam1,diam2,leafarea,leafmass,ph,no3,nh4,po4,pct.n,ca.ppm,p.ppm,k.ppm,mg.ppm
2,10,1,1.85,22.4,32,176.48,47.96,16.71,27.79,19.58,4.59,0.88,5.5,0.15,1.48,1.12,1.38,311.4,1498,5874.8,1224.4
1,10,3,NA,NA,3,116.2,17.2,10.8,14.7,12.2,30.02,0.15,NA,NA,NA,NA,1.44,231.1,2094.4,6550,1065.6
3,2,5,NA,NA,24,163,38.5,18.4,29.6,26.4,90.78,0.79,5.59,0.12,1.2,NA,1.43,503,1872.4,3689.7,791.3
4,2,4,3.09,34.1,8,106.3,26.4,6.9,20.4,19.2,44.64,0.26,7.32,NA,NA,NA,1.37,910.1,853.1,3308.7,674.2
5,6,5,NA,NA,11,120.6,26.8,7.6,26.6,24.7,57.26,0.33,7.33,NA,4.29,NA,1.92,1297,1638.5,3033.6,1041.2
6,8,5,NA,NA,8,119.8,21.7,7.3,22,21.4,50.8,0.24,8.16,NA,NA,NA,1.99,862.5,1956.2,3267,1820.4
7,8,2,2.81,31.8,12,134.9,32.2,8.3,21.7,16.8,54.38,0.41,9.94,0.04,NA,NA,2.38,627.4,1772.4,3495.9,1346.6
8,6,2,3.04,34.4,20,153.3,31.9,15.3,23,18.8,77.14,0.7,6.98,0.03,0.03,NA,1.17,394.4,1051.6,3717.1,928.8
9,6,2,1.4,15.6,38,203.9,59.8,23.3,30.7,17.7,138.96,1.17,5.64,0.04,0.88,0.3,1.29,419.1,1386.8,4763.1,778.4
10,8,2,2.65,30.1,9,102.4,28.2,7.1,16.8,14.1,42.48,0.29,7.05,NA,0.45,NA,1.97,656.7,2367.9,6402.4,1892.4
11,8,1,2.84,31.9,26,179.55,108.46,47.55,76.2,52.83,4.06,0.8,5.22,0.14,0.33,NA,1.78,393.7,1974,6455,1612.7
13,8,2,3,33.8,42,208.9,51.1,17.2,32.1,20.5,134.66,1.19,4.15,0.03,0.35,-0.18,1.18,420.9,792.5,3430.8,890.2
14,0,4,4.72,49,32,173.9,58.3,24.3,33.1,20,133.88,1.25,5.99,-0.66,0.1,NA,1.11,405.8,256.8,2154.2,628.8
16,12,4,2.15,22.7,20,177,38,20,30.4,25.1,93.4,0.76,7.03,-0.04,4.29,NA,1.98,508.8,1090.1,3156.2,901
17,12,2,2.59,29.5,23,154.8,39.6,14.1,24.8,20.9,90.48,0.82,5.98,0.08,1.78,0.45,1.44,529.5,1892,3639.9,951.1
18,8,5,NA,NA,45,200,53.3,26.5,37.5,31.2,160.24,1.39,3.37,-0.01,0.96,0.26,1.26,828.2,941.9,2970,853.4
19,12,1,2.38,26.8,30,182.55,62.1,37.67,22.33,27.03,7.47,1.32,6.36,0.13,1.35,1.99,1.41,214.4,1263.3,5542.7,1406.4
20,10,4,0.85,8.9,16,99.1,37,10.6,24.7,21,54.32,0.45,7.04,NA,4.29,NA,1.91,1264.3,2102.6,3501.3,1378.7
21,8,4,NA,NA,18,140.3,36.3,17.4,24.4,19,85.78,0.63,6.94,NA,1.73,NA,1.33,678.1,1127.5,2734.6,1111.2
22,14,5,NA,NA,34,239.3,52.3,29.6,35.9,30.4,169.02,1.89,6.02,-0.66,2.09,0.89,1.64,541.5,1493.7,3966.4,900.3
23,12,2,0.34,2.9,22,201.1,51.4,24.1,26.7,22.2,123.04,1.18,6.03,0.1,4.29,1.09,1.48,157.6,1439.1,3724.9,968.1
24,2,4,4.09,42.6,20,147.6,38,18.4,25.3,21.6,285.54,0.64,6.86,0.16,NA,NA,1.03,294.3,715,2031.7,591
25,12,5,NA,NA,35,259.9,56.2,26.2,39.5,22.6,196.24,1.99,6.5,0.11,0.49,NA,1.24,607.9,1107,3844.9,669.7
